ID, Category
BGGId, Others
1, Others
2, Card Game
3, Others
4, Others
5, Territory Building
6, Others
7, Others
8, Others
9, Exploration
10, Others
11, Card Game
12, Others
13, Others
14, Others
15, Others
16, Others
17, Collectible Components
18, Miniatures
19, Others
20, Miniatures
21, Exploration
22, Exploration
23, Others
24, Others
25, Exploration
26, Others
27, Others
28, Card Game
29, Others
30, Exploration
31, Exploration
32, Others
34, Others
36, Others
37, Others
38, Word Game
39, Others
40, Others
41, Others
42, Territory Building
43, Others
44, Card Game
45, Others
46, Others
47, Others
48, Others
49, Card Game
50, Exploration
51, Puzzle
52, Territory Building
53, Others
54, Exploration
55, Others
57, Others
58, Exploration
59, Exploration
60, Territory Building
61, Others
62, Others
63, Others
64, Card Game
66, Others
67, Others
68, Others
69, Others
70, Others
71, Others
72, Card Game
73, Card Game
74, Card Game
75, Card Game
76, Territory Building
77, Others
78, Others
79, Others
82, Others
83, Others
84, Others
85, Others
87, Others
88, Others
89, Card Game
90, Card Game
91, Others
93, Others
94, Others
95, Others
96, Others
97, Others
98, Others
99, Others
101, Card Game
102, Card Game
103, Others
104, Territory Building
105, Card Game
106, Card Game
108, Others
109, Others
110, Others
111, Territory Building
112, Card Game
113, Card Game
114, Others
115, Others
116, Card Game
117, Others
118, Card Game
119, Others
120, Others
121, Others
122, Others
124, Others
125, Card Game
126, Others
127, Others
128, Puzzle
130, Others
132, Card Game
133, Exploration
134, Others
135, Others
136, Card Game
137, Word Game
139, Others
140, Card Game
141, Territory Building
142, Others
144, Others
145, Others
146, Others
147, Others
148, Others
150, Others
151, Others
152, Card Game
153, Card Game
154, Card Game
155, Card Game
156, Exploration
157, Others
162, Others
163, Word Game
164, Card Game
165, Puzzle
166, Educational
167, Others
168, Others
169, Card Game
170, Card Game
171, Others
172, Card Game
173, Others
174, Card Game
175, Card Game
176, Card Game
178, Others
179, Others
180, Card Game
181, Territory Building
182, Card Game
183, Others
185, Print & Play
186, Card Game
188, Others
189, Others
190, Card Game
192, Card Game
193, Others
194, Card Game
195, Others
196, Others
197, Card Game
198, Card Game
199, Others
200, Exploration
201, Others
202, Others
204, Others
206, Card Game
207, Card Game
208, Card Game
210, Card Game
211, Others
214, Others
215, Card Game
216, Others
217, Others
218, Others
219, Others
220, Card Game
221, Territory Building
222, Card Game
223, Exploration
224, Others
225, Others
226, Others
228, Card Game
229, Card Game
230, Exploration
231, Others
232, Others
234, Others
235, Others
237, Others
239, Others
240, Others
241, Exploration
242, Others
243, Others
244, Others
246, Card Game
247, Card Game
248, Territory Building
249, Others
250, Territory Building
252, Others
254, Others
255, Others
256, Others
257, Others
258, Card Game
259, Card Game
260, Others
261, Card Game
263, Card Game
264, Card Game
265, Others
267, Others
268, Others
270, Others
271, Card Game
272, Others
273, Exploration
274, Card Game
275, Others
276, Others
277, Card Game
278, Territory Building
279, Card Game
280, Others
281, Others
282, Others
283, Others
284, Others
285, Others
286, Others
287, Puzzle
288, Others
289, Territory Building
290, Card Game
291, Others
292, Card Game
293, Others
294, Others
295, Others
296, Others
297, Others
298, Others
299, Miniatures
300, Others
301, Card Game
302, Others
303, Card Game
304, Card Game
305, Others
307, Others
308, Others
309, Card Game
310, Others
311, Others
312, Card Game
313, Others
314, Others
315, Others
316, Others
317, Others
319, Others
320, Word Game
321, Others
322, Others
323, Territory Building
324, Others
327, Electronic
328, Card Game
329, Others
330, Others
332, Others
333, Card Game
334, Others
335, Others
336, Others
337, Card Game
338, Card Game
339, Card Game
340, Card Game
342, Others
343, Card Game
344, Card Game
345, Others
347, Others
348, Others
349, Card Game
350, Card Game
352, Card Game
353, Card Game
354, Card Game
355, Territory Building
356, Others
357, Others
359, Card Game
360, Card Game
361, Others
362, Others
363, Card Game
364, Others
365, Card Game
366, Others
367, Card Game
368, Card Game
369, Card Game
371, Card Game
372, Card Game
373, Card Game
374, Others
375, Others
376, Card Game
378, Others
379, Card Game
380, Others
381, Card Game
382, Others
383, Others
384, Others
386, Others
387, Card Game
388, Card Game
389, Others
391, Card Game
392, Card Game
393, Others
394, Others
396, Card Game
397, Collectible Components
398, Card Game
399, Others
400, Others
401, Others
403, Others
404, Others
406, Others
408, Card Game
409, Card Game
410, Others
412, Card Game
413, Others
414, Others
415, Card Game
416, Word Game
417, Others
420, Others
421, Others
422, Others
423, Others
424, Others
425, Others
426, Others
427, Card Game
428, Others
429, Others
430, Card Game
431, Card Game
432, Card Game
433, Others
434, Card Game
436, Card Game
437, Puzzle
438, Others
440, Others
441, Others
442, Others
443, Puzzle
444, Others
445, Others
446, Others
449, Others
450, Others
451, Card Game
452, Card Game
454, Others
455, Others
457, Card Game
458, Card Game
459, Others
460, Others
461, Others
462, Others
463, Card Game
464, Others
465, Others
466, Others
469, Others
470, Others
471, Others
472, Exploration
473, Card Game
474, Others
475, Others
476, Card Game
477, Others
478, Card Game
479, Card Game
481, Territory Building
482, Others
483, Others
484, Collectible Components
485, Card Game
486, Others
487, Others
488, Card Game
489, Card Game
490, Print & Play
491, Territory Building
492, Others
494, Others
495, Others
496, Card Game
497, Card Game
499, Others
500, Others
501, Others
503, Others
504, Others
505, Others
506, Card Game
507, Others
508, Others
509, Card Game
510, Exploration
511, Others
512, Others
514, Others
515, Others
519, Others
520, Others
521, Others
524, Card Game
525, Card Game
526, Others
527, Others
528, Others
529, Others
530, Others
531, Others
533, Card Game
534, Others
535, Card Game
536, Others
538, Others
539, Others
540, Others
541, Others
542, Card Game
545, Others
548, Others
549, Miniatures
550, Word Game
551, Others
552, Others
553, Card Game
554, Territory Building
555, Others
556, Card Game
557, Puzzle
558, Others
